step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0,0,0
1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0,0,0
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
2,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0,0,0
2,PAYMENT,7817.71,C90045638,53860.0,46042.29,M573487274,0.0,0.0,0,0
3,TRANSFER,215310.3,C1670993182,15325.0,0.0,C1100439041,5083.0,0.0,1,0
3,CASH_OUT,215310.3,C1100439041,5083.0,0.0,C1369488895,6105314.0,6320624.3,1,0
4,DEBIT,2806.0,C1840863498,62896.0,60090.0,C1609605835,325349.29,328155.29,0,0
5,CASH_IN,67739.15,C878617389,6928.0,74667.15,C2080388513,6510099.0,6442359.85,0,0
5,TRANSFER,311685.89,C1984094095,10835.0,0.0,C932583850,2024.0,0.0,1,0
5,CASH_OUT,311685.89,C932583850,2024.0,0.0,C1469878657,128897.0,440582.89,1,0
6,PAYMENT,4186.78,C1706029744,4425.0,238.22,M1764513511,0.0,0.0,0,0
7,PAYMENT,238.22,C1706029744,238.22,0.0,M1432989243,0.0,0.0,0,0
8,TRANSFER,150000.0,C1050985642,150000.0,0.0,C694798284,0.0,0.0,0,0
8,CASH_OUT,150000.0,C694798284,0.0,0.0,C1580538451,601631.97,751631.97,0,0
10,CASH_IN,25000.0,C1329186457,0.0,25000.0,C1050985642,500000.0,475000.0,0,0
10,TRANSFER,416049.08,C328400468,10536.0,0.0,C1286895498,0.0,0.0,1,1
10,CASH_OUT,416049.08,C1286895498,0.0,0.0,C963862942,0.0,416049.08,1,0
12,PAYMENT,300.0,C1189256427,1000.0,700.0,M1823072687,0.0,0.0,0,0
15,TRANSFER,5000.0,C1189256427,700.0,0.0,C1902518711,3000.0,8000.0,0,0
15,CASH_OUT,5000.0,C1902518711,8000.0,3000.0,C1453264781,15000.0,20000.0,0,0
18,DEBIT,1200.0,C1503428971,45000.0,43800.0,C1857362049,12000.0,13200.0,0,0
20,PAYMENT,15890.5,C2039875421,80000.0,64109.5,M1678432190,0.0,0.0,0,0
22,TRANSFER,520000.0,C1678954321,520000.0,0.0,C2048271639,0.0,0.0,1,1
22,CASH_OUT,520000.0,C2048271639,0.0,0.0,C1934567283,0.0,520000.0,1,0
24,CASH_IN,10000.0,C1432567890,5000.0,15000.0,C1567893421,200000.0,190000.0,0,0
25,TRANSFER,75000.0,C1432567890,15000.0,0.0,C1098765432,50000.0,125000.0,0,0
25,CASH_OUT,75000.0,C1098765432,125000.0,50000.0,C1876543210,80000.0,155000.0,0,0
28,PAYMENT,450.0,C1765432109,2000.0,1550.0,M1234567890,0.0,0.0,0,0
30,TRANSFER,8500.0,C1765432109,1550.0,0.0,C1654321098,10000.0,18500.0,0,0
35,DEBIT,3500.0,C1987654321,25000.0,21500.0,C1543210987,8000.0,11500.0,0,0
40,TRANSFER,180000.0,C1876504321,180000.0,0.0,C1432167890,0.0,0.0,1,0
40,CASH_OUT,180000.0,C1432167890,0.0,0.0,C1321098765,0.0,180000.0,1,0
42,PAYMENT,2500.0,C1210987654,30000.0,27500.0,M1098765432,0.0,0.0,0,0
45,CASH_IN,50000.0,C1109876543,10000.0,60000.0,C1098765431,300000.0,250000.0,0,0
48,TRANSFER,290000.0,C1009876543,290000.0,0.0,C1908765432,0.0,0.0,1,1
48,CASH_OUT,290000.0,C1908765432,0.0,0.0,C1807654321,0.0,290000.0,1,0
50,PAYMENT,750.0,C1706543210,5000.0,4250.0,M1605432109,0.0,0.0,0,0
55,TRANSFER,12000.0,C1706543210,4250.0,0.0,C1504321098,20000.0,32000.0,0,0
55,CASH_OUT,12000.0,C1504321098,32000.0,20000.0,C1403210987,45000.0,57000.0,0,0
60,DEBIT,800.0,C1302109876,15000.0,14200.0,C1201098765,7000.0,7800.0,0,0
65,CASH_IN,30000.0,C1100987654,0.0,30000.0,C1009876544,100000.0,70000.0,0,0
70,TRANSFER,450000.0,C1099876543,450000.0,0.0,C1988765432,0.0,0.0,1,1
70,CASH_OUT,450000.0,C1988765432,0.0,0.0,C1877654321,0.0,450000.0,1,0
75,PAYMENT,5600.0,C1766543210,40000.0,34400.0,M1655432109,0.0,0.0,0,0
80,TRANSFER,3200.0,C1766543210,34400.0,31200.0,C1544321098,15000.0,18200.0,0,0
85,PAYMENT,1800.0,C1766543210,31200.0,29400.0,M1433210987,0.0,0.0,0,0
90,CASH_OUT,29400.0,C1766543210,29400.0,0.0,C1322109876,50000.0,79400.0,0,0
100,TRANSFER,95000.0,C1211098765,95000.0,0.0,C1100987655,0.0,0.0,1,0
100,CASH_OUT,95000.0,C1100987655,0.0,0.0,C1099876544,0.0,95000.0,1,0
